id,ticket_number,customer_id,product_id,assigned_employee_id,subject,priority,status,opened_at,resolved_at
c6a04697-24e3-563b-aadd-85b65f006126,TKT-000001,c83368bd-2297-5133-898c-f2e1d3e97285,c2be7cd9-f7ee-544a-9ceb-7052826da8ce,b52ce1d4-6469-5a26-9909-ab8fb46083e5,Access policy clarification,low,resolved,2026-07-03T23:23:04+00:00,2026-07-05T22:23:04+00:00
4bf02238-2c7a-5da4-afe6-1407dcd00cb2,TKT-000002,ddd5d6f4-4a6d-5157-a994-b4656ff3daf6,e3b2c918-6a66-5db3-87f9-e5c71515f2ab,38b70633-8c56-58a2-b08e-83e8c5c45b63,Integration connection issue,low,closed,2026-02-09T13:15:19+00:00,2026-02-11T05:15:19+00:00
dafe773c-bf79-55a7-b4a7-ebcd91849211,TKT-000003,93bf04d9-8e55-5311-acba-bb55bb0a74b1,591abda9-fd16-5958-b0e9-586f0dfa6e54,38b70633-8c56-58a2-b08e-83e8c5c45b63,Data synchronization delay,high,pending,2025-10-21T18:12:02+00:00,
c11ba2d4-492f-5120-ad74-52b7c4d0b19e,TKT-000004,da64b36b-b5b6-555b-9093-3c014d6534ff,3205bb8a-e766-5617-a3d4-78aaa9883bc8,38b70633-8c56-58a2-b08e-83e8c5c45b63,Configuration assistance for Nexus Fabric 25,high,resolved,2026-07-08T11:30:40+00:00,2026-07-09T15:30:40+00:00
7925915e-fb9f-5b14-97b8-4759ddd3c0b1,TKT-000005,e45ef230-a000-5b1f-a26b-abd2492609e6,e691a6a3-7dd7-5d95-b97e-997e3af77227,b136f79e-100e-5a3c-b2f3-f0db6d3a6997,Configuration assistance for Quantum Console 07,low,closed,2026-04-11T11:28:29+00:00,2026-04-16T09:28:29+00:00
ce49f970-90b3-558b-99c6-5b02c3b1f67c,TKT-000006,28bb09d8-2545-57e8-a7ca-0789bb764966,508dfc85-5bf2-5709-b1e3-06ff86d5acb8,e0f2505c-fc5b-5345-8ebb-7cf3fa778973,Configuration assistance for Secure Workbench 98,medium,open,2026-05-23T02:30:14+00:00,
de53dda2-ecbb-5dbd-b966-ba6347bf45ea,TKT-000007,28b3fd98-5708-52b6-9827-2438ba2f7d9d,2f2113cc-589a-55b5-846a-78fddce3a3c9,e0f2505c-fc5b-5345-8ebb-7cf3fa778973,Dashboard metric discrepancy,low,resolved,2025-11-14T21:59:22+00:00,2025-11-17T01:59:22+00:00
adbfaec4-ad35-5441-8fa0-416269abb5c2,TKT-000008,79e273c0-69c6-51de-8517-f3521ed8a328,34baeb4c-81dc-5b29-bc76-0b8fd47cdbed,576d59ca-e029-534d-a2fc-2c388b2c3837,Configuration assistance for Secure Platform 68,high,resolved,2026-01-17T15:21:07+00:00,2026-01-20T17:21:07+00:00
ce378643-38d8-5b2d-a56a-f5219f9cdfde,TKT-000009,74cf633d-26d0-5c3c-9200-656f0fe1bab7,13e04507-297b-56af-85d7-75b609d982a1,e0f2505c-fc5b-5345-8ebb-7cf3fa778973,Access policy clarification,high,resolved,2026-07-21T15:21:16+00:00,2026-07-25T03:21:16+00:00
8758a769-6ba7-5a1a-89f9-2ca26745b7d5,TKT-000010,721afae2-f05c-5b9d-a637-08a16c97f3d1,9a2e8c5f-4d3e-5cb8-ba78-f2bd562ee61b,752d1174-aa5f-523e-a43f-23449274de00,Data synchronization delay,medium,resolved,2026-03-01T21:10:47+00:00,2026-03-02T23:10:47+00:00
13cdf2dc-100d-5833-bda2-76934c41f3e4,TKT-000011,2dc3a094-7673-5a36-8eda-09ce2921d716,1657c1e2-1668-5957-a5e5-822140c08707,e0f2505c-fc5b-5345-8ebb-7cf3fa778973,Data synchronization delay,medium,resolved,2025-12-04T07:39:48+00:00,2025-12-08T03:39:48+00:00
08cbd380-d265-5f97-b432-eb5be349df4c,TKT-000012,ddd5d6f4-4a6d-5157-a994-b4656ff3daf6,8dfa6632-930f-5fdc-b7cd-8d5908a33d66,576d59ca-e029-534d-a2fc-2c388b2c3837,Configuration assistance for Cloud Platform 62,high,resolved,2026-07-19T19:58:44+00:00,2026-07-22T09:58:44+00:00
