id,order_number,customer_id,sales_rep_id,order_date,status,currency
6cc139ed-2f56-526c-b071-e773430852d0,SO-20250807-00001,8baf19c7-db64-5221-93e0-52e621bdd5a6,e8de5e72-dfef-5439-a069-3da83d10c24b,2025-08-07,completed,USD
20b760f7-eaa9-55b7-baa1-21e50701940b,SO-20250807-00002,f1dea065-29d1-559a-8ab4-891657df2249,e95eb441-8390-5f2a-8300-5c0129b7d7a2,2025-08-07,completed,USD
a05611cb-72e4-5a7a-9bcc-e3f90fa64b24,SO-20250807-00003,1472294e-a186-5245-9afc-ccaad7893a3e,5935a2ab-e820-55bf-a36c-ef0ae035c00e,2025-08-07,completed,USD
38ba5f81-50e4-5d09-94fd-78a622e26f57,SO-20250808-00004,f2604e64-ceef-58d5-8f2a-17a0c5d81c44,ea94a58b-c854-5627-b53a-80296dac8550,2025-08-08,completed,USD
06f34f38-83ba-58f0-9801-5f33b6ae4e0c,SO-20250808-00005,7a7a6781-a43d-5a44-b8c3-ed9a9393e01d,720c7389-880e-5928-a765-7ad18e1dd3c3,2025-08-08,completed,USD
b3255965-6408-50e6-832f-356db88d64b4,SO-20250808-00006,b703766e-29da-5a0c-ab16-d0b8918643f5,8b8ac295-ff38-552a-a208-339acee0cbf8,2025-08-08,completed,USD
058d3d09-8eeb-5de5-b60d-bb21fead5bf0,SO-20250808-00007,3d33b250-ec74-5d47-92d7-57a58e7093aa,86d3dca2-5152-5ad7-ae43-709e43ab3982,2025-08-08,completed,USD
0f53093f-1c1a-54ff-bdc4-baed2160cbfa,SO-20250808-00008,a76466ab-21e2-5a4b-adb9-b0697c29e49b,d01beb24-6f80-5c71-a71d-d3854411ab72,2025-08-08,completed,USD
d43fb360-7033-5ab1-8a2e-5505cac4b7d8,SO-20250808-00009,aa9cc48e-5859-5893-a5cd-6087a97d33a6,118ee768-2257-5fc9-80c7-fc0361eca54b,2025-08-08,completed,USD
c2747a68-2a11-55a7-8d46-a008d4725df6,SO-20250809-00010,2cbc0a20-b6e1-5bfa-aacc-ddf987a5613a,d1d43115-96f8-53a1-bad2-7d9446d8e118,2025-08-09,completed,USD
411528e3-1cbc-56d8-babe-41588197b7e6,SO-20250810-00011,8baf19c7-db64-5221-93e0-52e621bdd5a6,008aa683-c142-586d-8cba-7423f86323a7,2025-08-10,completed,USD
facd015b-577a-5fb9-8c81-6c047a55a60f,SO-20250811-00012,a76466ab-21e2-5a4b-adb9-b0697c29e49b,1db4a92b-a015-5bef-b875-c0931951c17a,2025-08-11,shipped,USD
