product_id,supplier_id,supplier_sku,lead_time_days,preferred
1fa2b768-1b9d-5b9c-befa-fac1ccb97563,c651b0db-a413-5179-8b03-13c8a6ae4a19,V-0001-1,24,True
1fa2b768-1b9d-5b9c-befa-fac1ccb97563,3795a592-055d-5f47-a6e0-6edcee0c8599,V-0001-2,11,False
829935ce-9ec7-5afb-a542-873877c9ce31,1284ac8c-fae5-5c77-bc35-8f343b661acb,V-0002-1,8,True
0137b3c3-db39-5e56-abf7-8ae43bc349ad,e8ffe555-b824-5655-af15-c14ae693f22a,V-0003-1,11,True
0137b3c3-db39-5e56-abf7-8ae43bc349ad,794cba2d-4951-51d0-887e-7f8001a0868f,V-0003-2,9,False
0137b3c3-db39-5e56-abf7-8ae43bc349ad,2791a9f4-3fb5-5d97-a5ab-cc34241b0083,V-0003-3,9,False
9b6b9203-f582-59b6-b64c-309881607c86,c3eb288f-aa48-5608-ae4d-27895afb7ce6,V-0004-1,14,True
9b6b9203-f582-59b6-b64c-309881607c86,8d55441e-176f-53dc-bb6f-2735e2993f37,V-0004-2,24,False
1657c1e2-1668-5957-a5e5-822140c08707,b8d82bf7-98df-55f2-90af-d6edaf467b55,V-0005-1,11,True
1657c1e2-1668-5957-a5e5-822140c08707,99830bd4-f8b5-5368-920c-e2a39553b3fe,V-0005-2,14,False
1657c1e2-1668-5957-a5e5-822140c08707,c37dd0c8-2719-5826-b027-2a83950a5f4d,V-0005-3,15,False
1760c2e4-563f-5bac-abcd-baf5317434c8,e8ffe555-b824-5655-af15-c14ae693f22a,V-0006-1,21,True
1760c2e4-563f-5bac-abcd-baf5317434c8,6ce4fdec-6977-5835-9d20-82849182b197,V-0006-2,8,False
1760c2e4-563f-5bac-abcd-baf5317434c8,1d56b323-34d1-5e3b-90c8-d1815913a897,V-0006-3,9,False
e691a6a3-7dd7-5d95-b97e-997e3af77227,7ce4882b-897c-5a6f-8f9c-17504d3eb76a,V-0007-1,18,True
e691a6a3-7dd7-5d95-b97e-997e3af77227,8d55441e-176f-53dc-bb6f-2735e2993f37,V-0007-2,4,False
e691a6a3-7dd7-5d95-b97e-997e3af77227,8bd0bcf2-c619-58f3-953f-4c7f17c42ee6,V-0007-3,8,False
f78fc905-81d2-5f52-8c77-1cff3a4b42b7,9d5ef604-b5ec-5a49-8a55-d0458e394151,V-0008-1,15,True
f78fc905-81d2-5f52-8c77-1cff3a4b42b7,b349f45f-c411-5d53-ad24-73a5d4a16b03,V-0008-2,20,False
f78fc905-81d2-5f52-8c77-1cff3a4b42b7,c3eb288f-aa48-5608-ae4d-27895afb7ce6,V-0008-3,14,False
6469a098-75a3-5b3b-839a-ad075a8e67ad,87e70a47-c3d7-5af4-bc7a-4d1d8d9e3911,V-0009-1,19,True
6469a098-75a3-5b3b-839a-ad075a8e67ad,8bd0bcf2-c619-58f3-953f-4c7f17c42ee6,V-0009-2,12,False
86eda21c-1dbc-500a-9201-b7d6b0786cc8,c37dd0c8-2719-5826-b027-2a83950a5f4d,V-0010-1,14,True
39cb20a1-5dca-5b11-90c4-3e96e441ed0c,e8ffe555-b824-5655-af15-c14ae693f22a,V-0011-1,20,True
2f2113cc-589a-55b5-846a-78fddce3a3c9,b7cd63b2-d250-5417-92d0-d986281cbfc0,V-0012-1,13,True
2f2113cc-589a-55b5-846a-78fddce3a3c9,da9c2cc5-bcb7-5d93-a38c-15f706e3de54,V-0012-2,5,False
b6464168-fc86-5543-9805-0861ea9c66cc,d3229a68-408c-5e1f-a917-2c04eb1a70ae,V-0013-1,25,True
c2be7cd9-f7ee-544a-9ceb-7052826da8ce,2791a9f4-3fb5-5d97-a5ab-cc34241b0083,V-0014-1,11,True
c2be7cd9-f7ee-544a-9ceb-7052826da8ce,8bd0bcf2-c619-58f3-953f-4c7f17c42ee6,V-0014-2,7,False
c2be7cd9-f7ee-544a-9ceb-7052826da8ce,a8f14773-125c-5ba4-9191-cd8ebe6c52e6,V-0014-3,28,False
4dbc0e6b-ab10-5b67-a928-f87e1ed2bb9a,c651b0db-a413-5179-8b03-13c8a6ae4a19,V-0015-1,6,True
4dbc0e6b-ab10-5b67-a928-f87e1ed2bb9a,b8d82bf7-98df-55f2-90af-d6edaf467b55,V-0015-2,15,False
0caef625-914f-5fea-8e59-19b212bfbd46,7ca0e407-2370-5762-b9bd-0044d2878589,V-0016-1,19,True
0caef625-914f-5fea-8e59-19b212bfbd46,6939a2fc-dc0d-59ac-a65b-dde87ee5f658,V-0016-2,9,False
0caef625-914f-5fea-8e59-19b212bfbd46,da9c2cc5-bcb7-5d93-a38c-15f706e3de54,V-0016-3,11,False
d37c44df-541b-5bf4-b395-65b41bac88a8,ad0f30d8-bee4-5981-ae27-11aeb07094ef,V-0017-1,28,True
