id,sales_order_id,product_id,quantity,unit_price,discount_amount
f499fa2c-52e1-5044-8e15-0774c9001474,6cc139ed-2f56-526c-b071-e773430852d0,c3e9c7fb-d6ab-5171-a827-7aad6b6d2342,11,1198.11,1317.92
56d4dc9d-c31a-5c08-a659-72e0c4f6ff6e,6cc139ed-2f56-526c-b071-e773430852d0,80450a39-8a90-55da-adf7-0b6a1b84aeeb,5,1385.41,346.35
039d9ebf-a9c3-5f34-8ddd-96e054bbc6d6,6cc139ed-2f56-526c-b071-e773430852d0,7169fcc7-7527-510c-b88d-bdcd257ce105,6,1025.31,922.78
937f12d6-5c7c-51e6-8b86-2a0fb1e25a1d,6cc139ed-2f56-526c-b071-e773430852d0,5d79cff2-0e77-58a2-b1bf-c506ed3c98bd,3,822.40,370.08
d100640a-6c6b-5921-bf69-2a53dca10c7a,20b760f7-eaa9-55b7-baa1-21e50701940b,ac03c1f7-3948-530e-8de5-80756984ab20,9,564.84,0.00
2afc02d0-f0d1-56b0-8382-2c717cdc0a16,20b760f7-eaa9-55b7-baa1-21e50701940b,228ccd2f-642c-5fdf-abf0-129af98a3568,8,148.91,178.69
a8d31bb3-0cd3-5941-b22a-0f6c8595eec5,20b760f7-eaa9-55b7-baa1-21e50701940b,12003734-bab7-5410-8c89-f9a8c4967dea,5,1269.66,317.42
755ddb56-9ae6-51de-a27b-cdda943e3b1d,a05611cb-72e4-5a7a-9bcc-e3f90fa64b24,8dfa6632-930f-5fdc-b7cd-8d5908a33d66,9,271.74,366.85
6a03a140-d1cc-5944-a0f1-30b4bf2169fd,a05611cb-72e4-5a7a-9bcc-e3f90fa64b24,8d6058a9-d9fb-546e-b841-e6b4a0978311,5,1083.86,0.00
8afca671-05a1-5af9-b86f-fd57bfd0f9e7,a05611cb-72e4-5a7a-9bcc-e3f90fa64b24,1cc795b2-21b3-5c5e-84f0-8f1fa20a6dd4,1,668.78,100.32
1aa1ee67-e519-550d-b0fe-e5be89cff8d3,a05611cb-72e4-5a7a-9bcc-e3f90fa64b24,9f7bfd37-85ae-5a17-9b9f-5dafe3ec68ee,7,1138.16,0.00
266b07cb-bfac-5414-9237-2560cdc9aeef,a05611cb-72e4-5a7a-9bcc-e3f90fa64b24,9b6b9203-f582-59b6-b64c-309881607c86,2,876.23,0.00
aadc430f-bae4-5278-9528-39c53a4c2c89,38ba5f81-50e4-5d09-94fd-78a622e26f57,1ac8de35-b264-5704-978e-ce8dc08dd02d,2,452.98,0.00
1e8042af-6d46-542b-8990-619918a82b70,38ba5f81-50e4-5d09-94fd-78a622e26f57,cd410e43-ec3c-524b-84c6-84482a7b1204,2,549.24,0.00
97145f75-e372-55f4-88bf-ac93845f7f26,38ba5f81-50e4-5d09-94fd-78a622e26f57,12003734-bab7-5410-8c89-f9a8c4967dea,1,1269.66,190.45
85b1848e-7a9a-5f2a-94da-ce18ceea58b0,38ba5f81-50e4-5d09-94fd-78a622e26f57,d4214473-2bf7-5b77-bb1f-734e590c4014,1,1245.02,0.00
c771da1c-8456-5392-8db1-873f998b48b8,38ba5f81-50e4-5d09-94fd-78a622e26f57,e53c7da2-eb34-5499-8fd8-380dd673ea82,12,1587.45,0.00
2e73f0d2-e505-5504-bfcf-f6e54f2e3733,06f34f38-83ba-58f0-9801-5f33b6ae4e0c,559ab41c-d860-5ab1-aaa1-483577af7b67,12,305.73,183.44
bf08dd32-a2f2-514e-aa1a-47f6e2ba6d06,06f34f38-83ba-58f0-9801-5f33b6ae4e0c,508dfc85-5bf2-5709-b1e3-06ff86d5acb8,12,387.07,696.73
1811fede-e1f7-5c28-a32a-6319e52cda17,b3255965-6408-50e6-832f-356db88d64b4,8b12c834-e054-5502-85aa-99d1eb81eee0,9,1393.76,627.19
a0531712-1e75-5b8a-803f-54309e830251,b3255965-6408-50e6-832f-356db88d64b4,9a2e8c5f-4d3e-5cb8-ba78-f2bd562ee61b,1,688.27,34.41
ecc71c60-c39f-53c4-a192-e7d706f8b8bf,058d3d09-8eeb-5de5-b60d-bb21fead5bf0,f9fe7a6c-9a44-59e2-a4cc-fef69cc2e48e,7,684.00,239.40
835daf21-1bf1-5881-99f1-89507a5be379,0f53093f-1c1a-54ff-bdc4-baed2160cbfa,db630ac7-839d-5331-93df-dc621d8357b6,3,582.16,87.32
